case_id,tooth_id,landmark,x,y,z,score,margin,missing_tooth,missing,nan,out_of_bounds,from_local
075,t15,b,-14.696540832519531,-18.884780883789062,-20.369836807250977,1.0,0.5152073502540588,False,False,False,False,False
075,t15,l,-9.499279022216797,-16.54444122314453,-19.260231018066406,1.0,0.5945664048194885,False,False,False,False,False
075,t15,m,-12.32525634765625,-18.077058792114258,-18.18162727355957,1.0,0.6560421586036682,False,False,False,False,False
075,t15,mr,-11.327820777893066,-20.81078338623047,-18.63470458984375,1.0,0.7356049418449402,False,False,False,False,False
075,t15,dr,-13.188648223876953,-15.537020683288574,-18.080902099609375,1.0,0.5334601402282715,False,False,False,False,False
075,t15,mc,-11.101177215576172,-20.994638442993164,-18.271055221557617,1.0,0.5460001826286316,False,False,False,False,False
075,t15,dc,-13.57180404663086,-15.351614952087402,-18.00111198425293,1.0,0.5082723498344421,False,False,False,False,False
075,t15,bgb,-16.906824111938477,-19.94278907775879,-15.66089916229248,1.0,0.5043238401412964,False,False,False,False,False
075,t15,lgb,-9.494192123413086,-16.50092124938965,-14.127554893493652,1.0,0.519899845123291,False,False,False,False,False
075,t16,mb,-18.73992156982422,-14.335941314697266,-19.144575119018555,1.0,0.6163817048072815,False,False,False,False,False
075,t16,db,-20.48039436340332,-10.348559379577637,-18.027008056640625,0.9999998807907104,0.6731885671615601,False,False,False,False,False
075,t16,ml,-13.361128807067871,-11.14150619506836,-19.274858474731445,0.9999971389770508,0.5813335180282593,False,False,False,False,False
075,t16,dl,-14.9170503616333,-6.876590728759766,-17.902067184448242,0.9999977350234985,0.7491254210472107,False,False,False,False,False
075,t16,bg,-19.793676376342773,-12.065364837646484,-17.981050491333008,1.0,0.5927807688713074,False,False,False,False,False
075,t16,m,-16.40313148498535,-11.063443183898926,-17.90328025817871,0.9999995231628418,0.5248915553092957,False,False,False,False,False
075,t16,mr,-14.579139709472656,-14.674517631530762,-18.129487991333008,1.0,0.5871133804321289,False,False,False,False,False
075,t16,dr,-17.949071884155273,-7.24377965927124,-16.387794494628906,0.9999998807907104,0.6004462242126465,False,False,False,False,False
075,t16,mc,-14.633471488952637,-15.014843940734863,-18.005983352661133,1.0,0.5159662365913391,False,False,False,False,False
075,t16,dc,-17.29258918762207,-6.996812343597412,-16.438261032104492,1.0,0.508586049079895,False,False,False,False,False
075,t16,bgb,-20.69691276550293,-12.990118980407715,-13.036308288574219,1.0,0.8326259255409241,False,False,False,False,False
075,t16,lgb,-11.949923515319824,-9.176745414733887,-15.06737232208252,1.0,0.5046604871749878,False,False,False,False,False
075,t17,mb,-25.61366081237793,-6.66535758972168,-16.224576950073242,1.0,0.6321675777435303,False,False,False,False,False
075,t17,db,-25.805715560913086,-2.468959093093872,-13.922591209411621,0.9999998807907104,0.6256083250045776,False,False,False,False,False
075,t17,ml,-20.8389835357666,-2.6734607219696045,-17.95408821105957,0.9999997615814209,0.5273647904396057,False,False,False,False,False
075,t17,dl,-20.13655662536621,-0.2319941520690918,-14.403239250183105,0.9999939203262329,0.5759199261665344,False,False,False,False,False
075,t17,bg,-25.574859619140625,-4.517469882965088,-13.950675964355469,0.9999945163726807,0.5491719841957092,False,False,False,False,False
075,t17,m,-22.5498104095459,-3.9472646713256836,-14.700284004211426,0.9999977350234985,0.5405875444412231,False,False,False,False,False
075,t17,mr,-21.770301818847656,-7.106950759887695,-17.037263870239258,0.9999994039535522,0.6530244946479797,False,False,False,False,False
075,t17,dr,-21.866174697875977,-0.3109922409057617,-12.821593284606934,1.0,0.5054566860198975,False,False,False,False,False
075,t17,mc,-21.339731216430664,-7.437952041625977,-16.76349639892578,0.9999943971633911,0.514861524105072,False,False,False,False,False
075,t17,dc,-21.980308532714844,-0.2846550941467285,-12.649813652038574,1.0,0.5840089321136475,False,False,False,False,False
075,t17,bgb,-24.9205322265625,-6.878328800201416,-9.738665580749512,1.0,0.6167045831680298,False,False,False,False,False
075,t17,lgb,-17.83388328552246,-1.9247679710388184,-15.838448524475098,1.0,0.5393196940422058,False,False,False,False,False
075,t21,m,6.117733478546143,-43.77377700805664,-21.13353157043457,1.0,0.7053800821304321,False,False,False,False,False
075,t21,ma,2.9851932525634766,-43.45172119140625,-20.9220027923584,1.0,0.5332891941070557,False,False,False,False,False
075,t21,da,8.842446327209473,-43.51393127441406,-21.057409286499023,1.0,0.5492042899131775,False,False,False,False,False
075,t21,mc,2.575338840484619,-42.906192779541016,-19.864059448242188,0.9999997615814209,0.509575605392456,False,False,False,False,False
075,t21,dc,9.818533897399902,-42.456172943115234,-19.94403076171875,0.9999996423721313,0.5215097069740295,False,False,False,False,False
075,t21,bgb,6.305391788482666,-40.81718063354492,-13.19771957397461,1.0,0.5359784960746765,False,False,False,False,False
075,t21,lgb,5.958498477935791,-36.04222106933594,-16.826753616333008,1.0,0.5090165138244629,False,False,False,False,False
075,t22,m,12.647761344909668,-39.62730026245117,-21.972305297851562,1.0,0.6405471563339233,False,False,False,False,False
075,t22,ma,10.224369049072266,-40.43808364868164,-21.49571418762207,1.0,0.5885862112045288,False,False,False,False,False
075,t22,da,14.685546875,-38.84737777709961,-21.425888061523438,1.0,0.6394608020782471,False,False,False,False,False
075,t22,mc,9.67890739440918,-40.29522705078125,-20.775449752807617,0.9999992847442627,0.5350173115730286,False,False,False,False,False
075,t22,dc,15.197319030761719,-38.36622619628906,-20.81348419189453,1.0,0.5921922326087952,False,False,False,False,False
075,t22,bgb,12.767178535461426,-38.63572311401367,-14.861430168151855,1.0,0.5711051821708679,False,False,False,False,False
075,t22,lgb,10.807243347167969,-33.52739334106445,-17.136926651000977,1.0,0.5436200499534607,False,False,False,False,False
075,t23,m,19.179237365722656,-36.33891677856445,-21.567392349243164,0.9999998807907104,0.6664859652519226,False,False,False,False,False
075,t23,mc,16.62044334411621,-37.64982223510742,-20.032278060913086,0.9999998807907104,0.5826042294502258,False,False,False,False,False
075,t23,dc,20.714847564697266,-31.97397804260254,-19.63208770751953,0.9999994039535522,0.5078375935554504,False,False,False,False,False
075,t23,bgb,19.579233169555664,-34.90653991699219,-14.830851554870605,0.9999978542327881,0.5260432362556458,False,False,False,False,False
075,t23,lgb,14.69994831085205,-30.98388671875,-17.47681999206543,1.0,0.5551422238349915,False,False,False,False,False
075,t24,b,22.735971450805664,-29.689435958862305,-21.138763427734375,1.0,0.5211322903633118,False,False,False,False,False
075,t24,l,17.461671829223633,-27.06538200378418,-20.954750061035156,0.9999998807907104,0.520197868347168,False,False,False,False,False
075,t24,m,20.397842407226562,-27.48313331604004,-19.419445037841797,1.0,0.7364273071289062,False,False,False,False,False
075,t24,mr,19.014755249023438,-30.086523056030273,-19.01279640197754,1.0,0.5211989283561707,False,False,False,False,False
075,t24,dr,21.079774856567383,-25.014497756958008,-19.525230407714844,0.9999996423721313,0.5808931589126587,False,False,False,False,False
075,t24,mc,19.120933532714844,-30.523378372192383,-18.827451705932617,0.9999998807907104,0.5302098989486694,False,False,False,False,False
075,t24,dc,21.145978927612305,-24.62339973449707,-19.083208084106445,0.9999998807907104,0.5075219869613647,False,False,False,False,False
075,t24,bgb,23.836387634277344,-28.961732864379883,-14.82795238494873,1.0,0.5208309888839722,False,False,False,False,False
075,t24,lgb,16.63685417175293,-25.70861053466797,-16.871623992919922,1.0,0.7756426930427551,False,False,False,False,False
075,t25,b,25.47359275817871,-22.562238693237305,-20.009492874145508,0.9999995231628418,0.5187183022499084,False,False,False,False,False
075,t25,l,19.66642189025879,-20.516868591308594,-20.222627639770508,1.0,0.5087838768959045,False,False,False,False,False
075,t25,m,22.47296142578125,-21.02367401123047,-18.59971809387207,1.0,0.749879002571106,False,False,False,False,False
075,t25,mr,21.2777042388916,-23.505430221557617,-19.071876525878906,1.0,0.6019514799118042,False,False,False,False,False
075,t25,dr,23.535856246948242,-18.488176345825195,-18.4898738861084,1.0,0.5320969820022583,False,False,False,False,False
075,t25,mc,21.162694931030273,-23.77775764465332,-18.958412170410156,1.0,0.5708426237106323,False,False,False,False,False
075,t25,dc,23.68855094909668,-18.310922622680664,-18.406858444213867,1.0,0.5628894567489624,False,False,False,False,False
075,t25,bgb,26.136133193969727,-22.71845245361328,-14.982142448425293,1.0,0.7125741243362427,False,False,False,False,False
075,t25,lgb,18.67120361328125,-19.318939208984375,-15.698458671569824,0.9999997615814209,0.5232385993003845,False,False,False,False,False
075,t26,mb,26.955520629882812,-16.753250122070312,-19.649168014526367,0.9999983310699463,0.5388398170471191,False,False,False,False,False
075,t26,db,27.7571964263916,-12.141932487487793,-19.1512508392334,1.0,0.507900059223175,False,False,False,False,False
075,t26,ml,21.2426815032959,-13.513660430908203,-19.758989334106445,0.9999996423721313,0.5156428217887878,False,False,False,False,False
075,t26,dl,22.644515991210938,-9.479384422302246,-18.695831298828125,0.9999998807907104,0.5958285927772522,False,False,False,False,False
075,t26,bg,27.651275634765625,-14.100143432617188,-18.72248077392578,1.0,0.6385505199432373,False,False,False,False,False
075,t26,m,25.161523818969727,-13.92650318145752,-17.716232299804688,1.0,0.5868220925331116,False,False,False,False,False
075,t26,mr,23.94823455810547,-17.21154022216797,-19.403467178344727,0.9999998807907104,0.5065709352493286,False,False,False,False,False
075,t26,dr,25.499101638793945,-9.352478981018066,-17.082170486450195,1.0,0.5553255081176758,False,False,False,False,False
075,t26,mc,23.605031967163086,-17.33708953857422,-19.31937599182129,1.0,0.5404605865478516,False,False,False,False,False
075,t26,dc,25.49213409423828,-9.09496784210205,-16.627256393432617,1.0,0.5003237724304199,False,False,False,False,False
075,t26,bgb,28.898117065429688,-15.54443359375,-13.843307495117188,1.0,0.6561329960823059,False,False,False,False,False
075,t26,lgb,20.173200607299805,-11.593463897705078,-14.978764533996582,1.0,0.6044340133666992,False,False,False,False,False
075,t27,mb,32.82920455932617,-8.834115028381348,-16.518959045410156,1.0,0.7370387315750122,False,False,False,False,False
075,t27,db,33.13914108276367,-4.669281482696533,-14.29712200164795,1.0,0.5428855419158936,False,False,False,False,False
075,t27,ml,27.881338119506836,-4.792512893676758,-17.827072143554688,1.0,0.5464597344398499,False,False,False,False,False
075,t27,dl,28.83321189880371,-2.333129405975342,-13.417041778564453,0.9999985694885254,0.6228756904602051,False,False,False,False,False
075,t27,bg,33.071109771728516,-6.630764484405518,-14.308550834655762,1.0,0.6514796018600464,False,False,False,False,False
075,t27,m,30.020172119140625,-6.146202087402344,-14.41541576385498,1.0,0.5435992479324341,False,False,False,False,False
075,t27,mr,28.57158851623535,-8.850481986999512,-17.06383514404297,1.0,0.5744064450263977,False,False,False,False,False
075,t27,dr,29.408937454223633,-2.3125643730163574,-11.901992797851562,1.0,0.7378150820732117,False,False,False,False,False
075,t27,mc,28.43291664123535,-9.152068138122559,-17.22420883178711,1.0,0.5147157311439514,False,False,False,False,False
075,t27,dc,29.408937454223633,-2.3125643730163574,-11.901992797851562,1.0,0.7028627395629883,False,False,False,False,False
075,t27,bgb,32.481746673583984,-8.485991477966309,-9.71385383605957,1.0,0.559661865234375,False,False,False,False,False
075,t27,lgb,25.59612464904785,-3.488191843032837,-14.922733306884766,0.9999998807907104,0.5833165049552917,False,False,False,False,False
075,t31,m,8.70743465423584,-42.33827590942383,-20.94908332824707,1.0,0.5135416984558105,False,False,False,False,False
075,t31,ma,6.76474142074585,-41.79426574707031,-20.696229934692383,0.9999998807907104,0.589989960193634,False,False,False,False,False
075,t31,da,10.981884956359863,-42.564815521240234,-21.189353942871094,1.0,0.691257655620575,False,False,False,False,False
075,t31,mc,6.261061191558838,-41.33928680419922,-21.475942611694336,1.0,0.6991725564002991,False,False,False,False,False
075,t31,dc,11.302186012268066,-41.98750686645508,-22.239206314086914,0.9999998807907104,0.527722954750061,False,False,False,False,False
075,t31,bgb,8.49289608001709,-42.51979064941406,-27.598703384399414,1.0,0.557873547077179,False,False,False,False,False
075,t31,lgb,9.671954154968262,-37.71193313598633,-26.6892032623291,0.9999997615814209,0.505664587020874,False,False,False,False,False
075,t32,m,13.65860366821289,-41.0102653503418,-20.2992000579834,1.0,0.523759126663208,False,False,False,False,False
075,t32,ma,11.34689998626709,-41.48090744018555,-20.643972396850586,1.0,0.7279422283172607,False,False,False,False,False
075,t32,da,15.808631896972656,-40.25773239135742,-20.78539276123047,1.0,0.635985791683197,False,False,False,False,False
075,t32,mc,10.974370002746582,-41.34562683105469,-21.916261672973633,1.0,0.5211041569709778,False,False,False,False,False
075,t32,dc,16.1414794921875,-39.899269104003906,-21.44584083557129,1.0,0.5303058624267578,False,False,False,False,False
075,t32,bgb,13.908059120178223,-41.5359992980957,-26.74608039855957,0.9999970197677612,0.5354858040809631,False,False,False,False,False
075,t32,lgb,12.68734073638916,-36.064727783203125,-27.156251907348633,0.9999997615814209,0.6394766569137573,False,False,False,False,False
075,t33,m,18.85582160949707,-38.725955963134766,-19.69485855102539,0.9999997615814209,0.5049718022346497,False,False,False,False,False
